output_prefix	name	motif_id	cluster	total_tfbs	cluster12_mean_score	cluster12_bound	cluster6_mean_score	cluster6_bound	cluster11_mean_score	cluster11_bound	cluster16_mean_score	cluster16_bound	cluster20_mean_score	cluster20_bound	cluster3_mean_score	cluster3_bound	cluster19_mean_score	cluster19_bound	cluster18_mean_score	cluster18_bound	cluster1_mean_score	cluster1_bound	cluster4_mean_score	cluster4_bound	cluster7_mean_score	cluster7_bound	cluster9_mean_score	cluster9_bound	cluster15_mean_score	cluster15_bound	cluster14_mean_score	cluster14_bound	cluster2_mean_score	cluster2_bound	cluster8_mean_score	cluster8_bound	cluster17_mean_score	cluster17_bound	cluster13_mean_score	cluster13_bound	cluster10_mean_score	cluster10_bound	cluster5_mean_score	cluster5_bound	cluster12_cluster6_change	cluster12_cluster6_pvalue	cluster6_cluster11_change	cluster6_cluster11_pvalue	cluster11_cluster16_change	cluster11_cluster16_pvalue	cluster16_cluster20_change	cluster16_cluster20_pvalue	cluster20_cluster3_change	cluster20_cluster3_pvalue	cluster3_cluster19_change	cluster3_cluster19_pvalue	cluster19_cluster18_change	cluster19_cluster18_pvalue	cluster18_cluster1_change	cluster18_cluster1_pvalue	cluster1_cluster4_change	cluster1_cluster4_pvalue	cluster4_cluster7_change	cluster4_cluster7_pvalue	cluster7_cluster9_change	cluster7_cluster9_pvalue	cluster9_cluster15_change	cluster9_cluster15_pvalue	cluster15_cluster14_change	cluster15_cluster14_pvalue	cluster14_cluster2_change	cluster14_cluster2_pvalue	cluster2_cluster8_change	cluster2_cluster8_pvalue	cluster8_cluster17_change	cluster8_cluster17_pvalue	cluster17_cluster13_change	cluster17_cluster13_pvalue	cluster13_cluster10_change	cluster13_cluster10_pvalue	cluster10_cluster5_change	cluster10_cluster5_pvalue
Runx1_MA0002.2	Runx1	MA0002.2	C_Bcl11B	19389	3.89068	5515	2.89064	4207	3.21827	4760	1.58443	2273	3.79212	5448	0.29857	418	1.74685	2508	1.89216	2743	3.87241	5627	2.25224	3240	3.60292	5150	1.14633	1655	3.85745	5582	3.76318	5398	0.09738	137	3.87954	5564	3.77068	5438	2.1055	3041	2.05304	3013	1.93275	2786	0.01338	8.45606E-31	-0.0266	2.37371E-53	-0.02407	1.16004E-49	0.0496	8.92829E-82	-0.02344	4.93705E-48	0.05231	1.27261E-67	-0.06819	2.93806E-86	-0.03079	2.14534E-58	-0.02933	1.06420E-54	0.02301	5.05891E-51	0.02847	2.24314E-55	-0.02546	1.08472E-53	-0.00503	3.77078E-09	-0.00215	2.22596E-01	0.00188	7.30170E-02	0.00871	1.85328E-16	0.03381	3.74923E-60	-0.00361	6.38392E-05	0.01977	3.29524E-41
TFAP2A_MA0003.4	TFAP2A	MA0003.4	C_TFAP2C	22555	5.15372	8519	3.92	6392	4.36524	7357	2.14985	3575	5.14863	8446	0.546	902	3.03401	5101	2.93403	4908	5.11154	8483	3.10003	5100	4.81562	7968	1.74952	2908	5.06115	8408	4.93859	8168	0.18786	310	5.06068	8361	4.91113	8050	3.03478	4978	3.04567	5058	2.94146	4858	0.00636	4.22818E-14	-0.02044	9.09915E-50	0.00571	4.24930E-09	-0.00038	7.89765E-01	0.08175	9.77593E-105	-0.06281	1.57051E-83	0.01425	2.60397E-31	0.04623	4.12984E-81	-0.02464	3.47939E-57	0.01069	7.89827E-22	0.02882	1.99566E-65	-0.02674	1.57765E-61	-0.00507	3.98221E-11	0.11705	1.33083E-121	-0.12511	5.55862E-123	0.01294	5.46507E-36	-0.01623	2.55901E-38	-0.0171	2.14181E-37	0.00617	2.28682E-11
Arnt_MA0004.1	Arnt	MA0004.1	C_MNT	9440	6.26752	4266	4.76485	3241	4.99059	3487	2.91654	2052	6.09149	4183	0.81083	543	3.23288	2303	3.57062	2503	6.19176	4296	3.89191	2667	5.79324	4010	2.13014	1486	6.09097	4159	6.10519	4207	0.2611	181	6.13218	4208	5.94934	4115	3.61814	2526	3.41687	2406	3.38771	2311	-0.00422	1.64417E-02	0.03752	1.21787E-52	-0.09153	3.76502E-88	0.04962	1.01673E-61	0.14035	6.21449E-111	0.01389	2.98269E-15	-0.07506	2.83194E-72	0.00751	6.12458E-10	-0.03232	1.34629E-50	0.03717	1.22258E-56	0.05875	1.06007E-74	-0.06756	3.98746E-77	-0.02947	6.74762E-49	0.28196	1.23654E-138	-0.26837	1.86523E-139	0.00759	5.79856E-06	0.01005	1.19996E-18	0.03787	1.74089E-55	-0.02978	3.57991E-45
AhrArnt_MA0006.1	Ahr::Arnt	MA0006.1	C_Ahr::Arnt	11624	5.7636	4757	4.43113	3663	5.3545	4599	2.84	2402	5.66754	4715	0.87501	734	3.81674	3266	3.42882	2886	5.75281	4854	3.61076	3024	5.27798	4393	1.99088	1690	5.59569	4642	5.37389	4512	0.24316	214	5.50458	4611	5.44477	4545	3.45445	2907	3.8698	3335	3.41888	2848	-0.01261	1.00280E-19	-0.10538	3.70204E-103	-0.01593	2.15059E-29	0.10431	9.97057E-104	0.0297	3.19393E-52	-0.02577	1.10359E-36	0.08693	1.51021E-89	0.07064	5.58062E-82	-0.03433	1.55186E-55	0.05595	5.96814E-77	0.00656	4.88945E-07	-0.01797	4.18131E-30	0.00631	1.44971E-10	0.1496	1.67576E-110	-0.17731	4.88048E-127	0.00885	3.36752E-13	-0.04888	5.70998E-70	-0.11839	3.16891E-102	0.0824	9.53105E-84
Ar_MA0007.3	Ar	MA0007.3	C_NR3C2	6790	4.12655	2071	3.09295	1572	3.9724	2085	1.71014	849	4.1044	2044	0.29329	148	2.34659	1186	2.29256	1162	4.02607	2035	2.34499	1168	3.85733	1912	1.3149	665	4.07984	2048	4.0303	2037	0.11648	57	4.03954	2008	4.01626	2015	2.29992	1137	2.9091	1492	2.33144	1167	0.01182	1.72816E-16	-0.14947	2.40593E-102	0.09573	2.53911E-90	0.01994	1.70052E-24	0.07034	5.99337E-70	-0.1339	3.83305E-85	0.02307	5.97016E-25	0.04095	1.04067E-53	-0.03486	4.03186E-48	0.00803	3.97081E-09	0.02593	2.72404E-28	-0.02226	3.40329E-26	-0.021	9.07052E-27	0.06648	1.61460E-66	-0.05734	1.08706E-56	-0.0129	2.25904E-20	0.00732	9.61560E-09	-0.13567	5.12385E-97	0.10152	5.83321E-90
TBXT_MA0009.2	TBXT	MA0009.2	C_TBX19	4286	4.05621	1268	2.92737	906	2.57143	789	0.98216	294	3.89637	1262	0.21503	73	1.34998	442	1.67356	514	3.97807	1281	1.95601	616	3.71277	1163	1.19742	366	4.0994	1306	3.98493	1241	0.11509	41	4.10895	1313	4.00094	1279	2.21984	705	1.43193	453	1.83484	597	0.03384	3.72785E-38	0.16749	3.92407E-102	0.03969	5.64833E-35	-0.16431	2.11418E-98	0.03345	6.15901E-34	0.08676	2.05312E-53	-0.14478	2.20145E-81	-0.16125	2.01850E-92	0.10152	8.12018E-78	-0.09854	1.73520E-75	0.04239	2.97864E-42	-0.06335	2.56795E-57	0.01399	8.78900E-15	-0.01631	5.24151E-13	0.01248	3.10001E-08	0.01081	9.25805E-07	0.05243	1.62259E-47	0.24406	3.50999E-109	-0.19145	6.61931E-95
PAX5_MA0014.3	PAX5	MA0014.3	C_PAX5	6654	6.55491	3067	5.09644	2409	5.74907	2764	3.21953	1555	6.48669	3090	0.88788	429	4.17459	2058	3.96504	1931	6.51564	3068	4.19921	1964	6.05835	2828	2.3243	1130	6.36848	3009	6.29839	2956	0.27363	138	6.35649	2969	6.25136	2974	3.99353	1890	4.17023	2027	3.86962	1858	-0.00333	1.81147E-01	-0.04616	1.54796E-65	-0.05409	3.99613E-58	0.07213	3.26186E-78	0.14284	4.04535E-108	-0.09396	4.82864E-79	0.03311	3.74445E-38	0.07839	2.40460E-83	-0.05818	8.77875E-71	0.06749	3.10325E-70	0.03362	6.59878E-43	-0.03987	1.04175E-47	-0.00949	2.85244E-10	0.27418	3.58229E-133	-0.27186	1.07345E-131	0.01029	5.59544E-10	-0.04119	1.85151E-52	-0.04995	2.72302E-55	0.03509	2.68597E-48
NR2F1_MA0017.2	NR2F1	MA0017.2	C_Nr1H2	21982	4.57077	7673	3.40607	5602	3.00984	5026	1.13	1822	4.53681	7512	0.17757	282	1.52762	2484	1.60526	2570	4.50958	7613	2.20656	3596	4.29936	7186	1.29683	2100	4.5942	7595	4.56645	7654	0.13405	217	4.69284	7871	4.56233	7652	2.37273	3812	1.75552	2845	2.11462	3371	0.02519	5.47773E-54	0.13881	3.19737E-121	0.11791	1.16387E-119	-0.2331	7.23558E-149	0.18836	1.93624E-140	-0.02668	2.86979E-40	-0.04575	7.15651E-72	-0.26875	6.11239E-154	0.10868	4.06587E-121	-0.1303	7.25334E-123	0.11229	6.35351E-118	-0.12075	6.04916E-124	-0.02226	3.12005E-56	0.12329	1.14066E-121	-0.12748	6.61608E-127	0.01254	6.02656E-36	0.11642	4.25066E-118	0.18138	1.26629E-138	-0.15632	1.34564E-118
CREB1_MA0018.4	CREB1	MA0018.4	C_ATF2	16289	4.59259	5570	3.34489	4050	3.41552	4103	1.43416	1748	4.4781	5429	0.32763	399	1.70195	2045	2.07266	2460	4.47641	5424	2.33932	2774	4.35411	5309	1.38424	1659	4.70445	5686	4.79164	5813	0.14034	168	4.76803	5789	4.52248	5444	2.37826	2784	2.21157	2632	2.21408	2651	0.04427	6.80235E-71	0.0483	1.81595E-81	0.08984	1.25119E-98	-0.13486	4.87101E-118	0.12048	6.23658E-113	0.02079	3.09854E-23	-0.14584	2.48911E-114	-0.12156	2.92471E-111	0.05774	2.03907E-85	-0.10292	1.02734E-107	0.08602	3.04218E-95	-0.10068	8.22057E-105	-0.03963	1.11246E-65	0.16224	4.04930E-130	-0.14493	3.21518E-121	0.04545	4.41260E-69	0.11746	2.42237E-109	0.05664	4.33132E-77	-0.04981	5.63992E-74
Ddit3Cebpa_MA0019.1	Ddit3::Cebpa	MA0019.1	C_Ddit3::Cebpa	9301	4.18455	2983	3.04582	2107	2.68864	1894	1.14289	778	4.11583	2870	0.18941	125	1.20689	813	1.54355	1019	4.11738	2914	2.11206	1418	3.87284	2713	1.1231	799	4.17074	2837	4.10093	2886	0.10898	75	4.32026	3074	4.15001	2933	2.1019	1455	1.5134	1035	1.80295	1190	0.05485	3.33478E-72	0.15353	8.73243E-111	0.019	8.57303E-28	-0.14922	7.21988E-117	0.10101	9.35615E-94	0.09297	2.02413E-67	-0.1605	8.50736E-105	-0.22196	9.72616E-132	0.08506	1.46970E-83	-0.0921	4.13354E-92	0.09472	1.19347E-90	-0.10146	1.76209E-94	-0.00806	2.15101E-11	0.0418	1.57742E-58	-0.053	2.63811E-72	0.02596	6.84404E-40	0.11413	8.75247E-103	0.20317	2.98006E-121	-0.14959	1.42093E-98
E2F1_MA0024.3	E2F1	MA0024.3	C_ZNF417	1765	6.28272	817	4.91317	632	5.73181	766	3.33504	443	6.45073	850	1.06988	134	4.22054	575	3.92465	531	6.35943	857	4.28735	553	6.06088	781	2.20189	287	6.17935	816	5.86199	773	0.27587	39	6.15728	801	6.17128	798	4.1166	530	4.0892	544	4.05138	517	-0.03481	1.45664E-26	-0.07039	3.19064E-55	-0.09947	4.01656E-57	0.12493	4.73238E-71	0.09087	1.93675E-54	-0.00787	2.62986E-02	0.0604	9.37525E-48	0.10912	2.44897E-68	-0.06037	4.50562E-41	0.0469	2.28678E-34	0.06754	1.08041E-45	-0.04445	3.38434E-30	0.0475	6.50053E-35	0.21811	1.58105E-94	-0.25095	3.91286E-104	-0.03526	1.40615E-26	-0.07666	1.63930E-49	-0.03404	8.10298E-24	0.02388	2.68481E-14
NFIL3_MA0025.2	NFIL3	MA0025.2	C_NFIL3	16783	3.88458	4976	2.84134	3586	2.44527	3076	1.07893	1403	3.80829	4830	0.10698	126	0.8275	955	1.37269	1690	3.87218	5006	1.85789	2286	3.59426	4514	1.02044	1276	3.7995	4853	3.75346	4772	0.10182	135	3.98658	5051	3.94126	5104	2.0256	2536	1.2844	1571	1.54016	1859	0.02401	1.18585E-44	0.16459	3.51726E-127	-0.00808	1.14114E-16	-0.1279	8.61531E-116	0.08835	2.49299E-101	0.17619	1.44968E-107	-0.28029	4.17930E-135	-0.24121	1.25281E-145	0.1025	1.05049E-106	-0.09556	1.61342E-100	0.065	8.90631E-87	-0.0625	3.82979E-87	-0.01309	3.54619E-28	-0.02538	1.55955E-45	0.00149	7.30918E-03	-0.01074	1.23256E-23	0.09759	2.30505E-104	0.24518	2.54950E-141	-0.13333	3.23695E-110
EN1_MA0027.2	EN1	MA0027.2	C_ESX1	4716	2.94989	976	2.17912	706	2.80065	972	0.86404	293	2.98101	994	0.19592	70	1.23107	416	1.36707	460	2.93844	976	1.52308	514	2.80041	926	0.86908	307	2.96931	973	2.87895	941	0.10264	39	2.96166	988	2.9707	988	1.55428	512	2.0565	760	1.423	452	0.00352	3.33497E-03	-0.10114	7.47771E-77	0.14386	3.25998E-88	-0.03564	2.61609E-43	-0.15896	7.87861E-94	0.11964	3.28198E-67	-0.06864	2.53804E-49	-0.02817	1.90667E-27	0.01552	7.06314E-14	-0.04504	4.86091E-47	-0.04813	1.53415E-43	0.0539	1.00506E-52	-0.00985	7.58117E-11	-0.19798	2.83527E-109	0.20052	2.07730E-113	-0.02668	1.87333E-28	0.04979	9.57662E-45	-0.16636	6.33927E-98	0.1941	2.55770E-96
ELK1_MA0028.2	ELK1	MA0028.2	C_ETS1	8237	7.91148	4583	6.30218	3809	7.79348	4720	5.03842	3136	7.89562	4601	1.74211	1060	6.31966	3940	5.47741	3325	7.96743	4691	5.91533	3475	7.3039	4285	2.95255	1781	7.69816	4487	7.42579	4353	0.34011	203	7.62568	4438	7.5625	4444	5.16741	3077	6.15843	3785	5.17691	3100	-0.0632	1.84054E-71	-0.17607	5.99055E-125	-0.18634	5.88670E-115	0.32895	5.98088E-147	0.05565	3.19325E-67	-0.07616	1.68740E-80	0.17347	2.65486E-125	0.21849	9.88986E-133	-0.20882	1.36425E-125	0.22701	6.56582E-129	0.04193	1.57830E-58	-0.05694	1.76907E-68	0.00025	3.98581E-01	0.45919	1.01888E-164	-0.46844	1.64528E-160	-0.01366	3.82097E-23	-0.11287	1.46911E-99	-0.2244	6.87820E-131	0.17086	1.52895E-116
Mecom_MA0029.1	Mecom	MA0029.1	C_Mecom	12433	2.8723	2477	2.08642	1827	2.17895	1956	0.71743	627	2.83942	2487	0.10959	100	1.20407	1125	1.07984	914	2.82946	2514	1.34098	1170	2.62617	2305	0.76673	704	2.85036	2503	2.81395	2526	0.07377	67	2.9232	2544	2.86026	2543	1.47082	1333	1.35332	1193	1.3445	1166	0.02511	2.30120E-39	0.03392	4.50052E-57	0.06723	1.74743E-80	-0.06296	1.54445E-86	-0.14544	8.52657E-112	0.02591	6.04143E-29	0.03396	1.13406E-44	-0.09681	3.60723E-94	0.04078	7.16144E-60	-0.05439	1.03954E-74	-0.04446	1.45687E-65	0.03208	1.27389E-48	-0.01255	8.04318E-22	-0.21877	1.12853E-125	0.22283	5.38225E-135	0.0039	1.63803E-03	0.03023	1.12663E-52	0.04462	7.05800E-62	-0.02365	1.40691E-38
FOXF2_MA0030.1	FOXF2	MA0030.1	C_Foxj3	16986	3.59829	4517	2.73106	3468	2.45206	3079	0.71055	866	3.61642	4557	0.13953	173	1.07812	1307	1.50206	1844	3.65212	4691	1.60959	1987	3.38505	4355	1.05789	1356	3.60794	4564	3.44526	4253	0.09766	130	3.67478	4580	3.65758	4634	1.94395	2450	1.4357	1824	1.6009	1945	-0.01476	1.51163E-28	0.13191	1.70274E-118	0.1674	7.84492E-121	-0.22952	3.08012E-145	0.02655	1.36087E-49	0.11119	5.28090E-89	-0.20136	1.16136E-127	-0.13074	8.33833E-118	0.13594	6.98274E-123	-0.13887	2.42644E-123	0.01783	8.99053E-36	-0.01776	2.17936E-38	0.01641	2.83130E-36	-0.09802	1.40534E-102	0.07553	2.60553E-96	-0.01614	1.34677E-35	0.05229	7.81214E-83	0.16366	4.07200E-123	-0.09265	1.63241E-98
FOXD1_MA0031.1	FOXD1	MA0031.1	C_Foxj3	14110	3.93283	4180	2.99286	3173	2.61398	2751	0.78747	809	3.87692	4071	0.16831	166	1.13285	1132	1.69873	1764	3.93909	4231	1.74249	1763	3.66196	3947	1.16297	1226	3.90586	4108	3.78924	4012	0.09671	108	3.97824	4225	3.93986	4237	2.14073	2243	1.51691	1580	1.75421	1810	-0.01053	1.20257E-20	0.14898	4.24458E-126	0.16692	1.55927E-119	-0.24592	1.26100E-145	0.0696	3.88714E-88	0.10437	7.45231E-81	-0.24358	1.37588E-132	-0.11916	1.24875E-112	0.1481	1.58232E-119	-0.1519	1.64833E-127	0.0321	1.48143E-53	-0.03356	1.62698E-59	-0.00313	1.40692E-01	-0.02739	5.57615E-52	0.01725	1.56005E-33	-0.00886	6.12953E-13	0.06008	7.66064E-85	0.18309	2.69147E-124	-0.10959	2.82636E-99
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC2	29532	3.3575	7340	2.53435	5493	2.03167	4278	0.54232	1088	3.32597	7157	0.0937	207	0.82198	1649	1.30317	2816	3.37204	7479	1.39409	2969	3.13427	6854	0.94669	2112	3.33488	7244	3.19759	6846	0.08139	184	3.41708	7387	3.41578	7430	1.75029	3869	1.09348	2306	1.39648	2917	-0.01543	2.05799E-44	0.19335	9.04928E-149	0.14113	7.38624E-128	-0.24185	2.42895E-157	-0.02441	2.65894E-61	0.17529	2.21565E-120	-0.25026	8.92295E-147	-0.13747	2.14221E-128	0.15461	6.20068E-138	-0.15989	1.07650E-135	-0.00099	1.60429E-01	0.00913	7.58885E-29	0.00831	4.24301E-23	-0.16212	7.06564E-142	0.13326	2.96571E-133	-0.02578	1.14993E-63	0.06872	2.94182E-106	0.23638	3.17964E-153	-0.16026	3.54499E-128
FOXL1_MA0033.2	FOXL1	MA0033.2	C_Foxj3	9360	4.3543	3130	3.35373	2352	2.86923	2006	0.90376	631	4.30585	3046	0.20879	132	1.2903	871	1.93149	1352	4.38427	3152	1.93985	1314	4.07485	2948	1.31582	913	4.32691	3070	4.22195	3007	0.10694	78	4.38523	3143	4.34524	3133	2.39073	1665	1.68643	1164	1.99277	1384	-0.01618	1.19243E-26	0.17024	9.27229E-123	0.17891	7.31451E-118	-0.27534	2.82072E-137	0.12868	9.58290E-107	0.08451	5.11744E-68	-0.25239	5.89843E-123	-0.13474	8.42113E-108	0.1743	3.19684E-119	-0.17682	2.41944E-119	0.06126	3.01549E-71	-0.06308	8.28294E-74	-0.00898	1.75159E-10	0.05397	3.92082E-71	-0.06462	1.89514E-72	-0.01097	1.02075E-14	0.06643	2.36670E-73	0.19778	5.38663E-123	-0.12866	2.60560E-99
GATA1_MA0035.4	GATA1	MA0035.4	C_GATA6	9881	3.10588	2214	2.30474	1680	2.40442	1762	0.66417	462	3.04123	2154	0.11716	91	1.45003	1089	1.26909	882	3.02448	2182	1.38014	968	2.87384	2066	0.85901	618	3.14257	2262	3.04192	2180	0.10283	81	3.14773	2271	3.09272	2214	1.5733	1132	1.54559	1137	1.53262	1067	0.00834	3.40904E-11	0.02815	1.14803E-42	0.15822	9.20620E-113	-0.12947	7.26070E-105	-0.07953	8.34075E-84	-0.07762	4.69653E-67	0.05006	9.11456E-56	-0.07403	1.29748E-79	0.07978	2.71673E-84	-0.1079	1.87080E-99	-0.01056	7.84134E-15	-0.01274	1.31332E-19	-0.00856	2.47337E-14	-0.16431	1.53967E-110	0.16467	8.59084E-113	0.01341	9.12832E-16	0.04865	1.43085E-61	0.00914	7.24242E-12	-0.02484	7.87025E-29
GATA2_MA0036.3	GATA2	MA0036.3	C_GATA6	13510	3.05888	2995	2.23593	2197	2.438	2456	0.59597	548	3.0553	2967	0.11082	110	1.55265	1608	1.29366	1260	3.0534	3027	1.39676	1358	2.86334	2835	0.84739	867	3.10385	3062	3.09758	3066	0.08465	83	3.15247	3103	3.08408	2999	1.55709	1539	1.61947	1605	1.57337	1486	0.01183	2.41817E-15	0.00353	8.89736E-05	0.19775	9.40068E-130	-0.16533	7.92747E-123	-0.06362	5.55841E-80	-0.11098	2.84980E-92	0.0742	4.24148E-87	-0.06298	5.68726E-80	0.07749	1.10069E-85	-0.10253	3.13472E-106	-0.01048	2.20770E-28	-0.00183	4.85459E-02	-0.03156	2.07524E-52	-0.14147	3.12939E-115	0.15408	5.27105E-128	0.00589	1.87382E-10	0.05369	2.06609E-76	-0.01026	2.19187E-15	-0.02483	2.53024E-38
Gata3_MA0037.4	Gata3	MA0037.4	C_GATA6	15274	2.96075	3257	2.18387	2380	2.33602	2614	0.58967	620	2.93452	3154	0.10244	112	1.46448	1715	1.21513	1319	2.93196	3209	1.34675	1488	2.71521	2977	0.82996	958	2.97575	3275	2.97297	3290	0.08098	93	3.04147	3365	2.98535	3279	1.48332	1632	1.51093	1655	1.50812	1599	0.00457	2.57354E-07	0.01534	3.40341E-36	0.17276	1.73162E-123	-0.13473	5.68051E-111	-0.10193	8.88367E-101	-0.0958	5.40489E-79	0.07068	1.68491E-80	-0.07008	6.56824E-89	0.0674	1.44334E-87	-0.08304	4.62562E-92	-0.03672	1.99172E-58	0.01768	9.03839E-31	-0.0253	5.49663E-46	-0.18294	2.67739E-124	0.18024	3.45153E-122	0.00428	2.00048E-08	0.05389	3.18612E-74	-0.00116	6.58059E-01	-0.03828	8.70233E-61
GFI1_MA0038.2	GFI1	MA0038.2	C_GFI1	14233	4.00876	4130	3.00908	3049	2.9257	3016	1.28797	1316	3.98448	4093	0.28395	293	1.62135	1640	1.75465	1802	4.08026	4212	2.09902	2168	3.75802	3845	1.15048	1227	4.00641	4142	3.94289	4022	0.116	121	4.15042	4294	4.08021	4227	2.16364	2228	1.79249	1824	1.886	1873	0.01216	1.94831E-22	0.09997	9.42779E-105	0.0316	6.18406E-52	-0.09738	1.57262E-102	0.01766	1.51205E-30	0.03421	1.97161E-42	-0.08797	1.82322E-85	-0.1303	2.07142E-114	0.07118	1.06412E-90	-0.07525	5.00154E-90	0.05184	4.34364E-75	-0.05606	1.92938E-78	-0.00096	2.21766E-01	-0.01933	9.52053E-37	-0.00972	3.37452E-19	0.0073	1.17832E-14	0.08314	1.54851E-94	0.12339	3.31800E-108	-0.07819	7.99636E-83
KLF4_MA0039.4	KLF4	MA0039.4	C_KLF4	57543	7.335	28527	5.91397	23499	6.85436	27789	4.10065	17180	7.32771	28566	1.32155	5588	5.30965	22327	5.18024	21410	7.36951	28799	5.07326	20580	6.83512	26965	2.92149	12022	7.11375	28079	6.91404	27592	0.34673	1458	6.97351	27573	6.95445	27306	4.77486	19140	5.2223	21498	4.71033	19089	-0.06149	1.35370E-120	-0.09115	1.40021E-132	-0.10487	1.52742E-138	0.17814	3.59341E-162	0.07702	6.70411E-127	-0.07342	2.11884E-116	0.02266	2.05426E-69	0.2439	4.68407E-172	-0.1345	2.82380E-148	0.133	1.45295E-149	-0.03453	3.54651E-82	0.03731	6.02513E-95	-0.00712	3.81783E-28	0.31276	1.95074E-181	-0.30884	1.03547E-182	-0.00683	1.08623E-28	-0.10961	1.13474E-137	-0.11341	3.83440E-142	0.0719	5.60090E-121
Foxq1_MA0040.1	Foxq1	MA0040.1	C_Foxq1	18490	3.14983	4218	2.34779	3176	2.33667	3210	0.63881	841	3.16378	4205	0.10734	139	0.98862	1309	1.2076	1588	3.16416	4296	1.40479	1869	2.89512	4024	0.89624	1278	3.12507	4225	3.00777	4008	0.0749	105	3.21109	4344	3.21135	4394	1.65778	2276	1.40289	1928	1.36252	1766	-0.01844	3.42147E-36	0.07372	2.25403E-93	0.15696	6.13421E-123	-0.16733	2.03639E-130	-0.04989	2.37228E-86	0.10973	5.45549E-96	-0.1341	6.17245E-110	-0.12706	9.68988E-114	0.10537	2.41834E-111	-0.11047	2.24074E-111	-0.02225	8.74445E-45	0.02568	3.64260E-49	0.00641	1.03618E-15	-0.17757	8.27312E-131	0.14938	2.38001E-120	-0.01693	1.78574E-35	0.05376	3.41688E-87	0.08259	1.72714E-91	-0.01233	5.47667E-23
FOXD3_MA0041.2	FOXD3	MA0041.2	C_FOXD3	35564	2.97998	7493	2.21539	5671	1.91619	4740	0.55491	1382	2.95232	7434	0.09465	246	0.86039	2078	1.12993	2831	2.95985	7483	1.26023	3182	2.76204	7020	0.81544	2203	2.94579	7412	2.79344	6875	0.07067	189	3.00675	7579	2.98928	7568	1.53534	3949	1.04716	2612	1.25569	3096	-0.01507	6.32553E-39	0.15081	3.30392E-145	0.08746	4.09188E-108	-0.15435	4.41202E-142	-0.121	3.24658E-136	0.1737	2.75811E-121	-0.16238	7.21482E-133	-0.1077	2.11554E-122	0.10832	2.16346E-127	-0.12191	3.40076E-125	-0.03344	5.62846E-73	0.04176	3.12782E-92	0.02286	9.38217E-59	-0.26033	5.27584E-160	0.23	7.43921E-153	-0.01367	3.26979E-41	0.03735	1.15028E-84	0.18613	3.34746E-147	-0.12753	6.43485E-119
FOXI1_MA0042.2	FOXI1	MA0042.2	C_Foxj3	9360	4.3543	3130	3.35373	2352	2.86923	2006	0.90376	631	4.30585	3046	0.20879	132	1.2903	871	1.93149	1352	4.38427	3152	1.93985	1314	4.07485	2948	1.31582	913	4.32691	3070	4.22195	3007	0.10694	78	4.38523	3143	4.34524	3133	2.39073	1665	1.68643	1164	1.99277	1384	-0.01618	1.19243E-26	0.17024	9.27229E-123	0.17891	7.31451E-118	-0.27534	2.82072E-137	0.12868	9.58290E-107	0.08451	5.11744E-68	-0.25239	5.89843E-123	-0.13474	8.42113E-108	0.1743	3.19684E-119	-0.17682	2.41944E-119	0.06126	3.01549E-71	-0.06308	8.28294E-74	-0.00898	1.75159E-10	0.05397	3.92082E-71	-0.06462	1.89514E-72	-0.01097	1.02075E-14	0.06643	2.36670E-73	0.19778	5.38663E-123	-0.12866	2.60560E-99
HLF_MA0043.3	HLF	MA0043.3	C_NFIL3	15380	4.26391	5068	3.14757	3648	2.63049	3064	1.23728	1465	4.17588	4903	0.11898	129	0.91358	955	1.5349	1738	4.26006	5078	2.09113	2364	3.94689	4576	1.14805	1296	4.17477	4982	4.14633	4906	0.10853	133	4.37995	5126	4.32633	5156	2.27788	2612	1.37019	1555	1.71843	1879	0.02545	1.26758E-49	0.18724	1.34255E-133	-0.02318	3.68973E-39	-0.1394	4.94427E-122	0.16047	3.31194E-118	0.14059	6.47205E-98	-0.30657	1.02236E-135	-0.26058	5.04289E-145	0.11243	4.50408E-113	-0.10414	1.06497E-106	0.09053	4.85412E-104	-0.09127	7.10412E-99	-0.02387	7.63357E-41	0.04507	1.86621E-72	-0.06625	3.62204E-88	-0.00012	1.87521E-01	0.10366	3.24608E-107	0.28023	6.07899E-150	-0.16574	7.35643E-117
HNF1A_MA0046.2	HNF1A	MA0046.2	C_HNF1A	17619	3.63616	4800	2.77209	3635	1.81189	2225	0.42581	496	3.62782	4756	0.07575	89	0.61708	667	1.76276	2335	3.70529	5050	1.3976	1740	3.44565	4605	1.10117	1513	3.61292	4740	3.51522	4624	0.08252	111	3.7194	4911	3.76282	5068	1.95623	2533	0.73172	854	1.44321	1796	-0.02302	3.20109E-55	0.32351	1.04393E-160	0.14809	2.67507E-115	-0.34599	7.66193E-162	0.03508	5.13400E-64	0.26594	2.71598E-121	-0.54638	2.22739E-168	-0.03162	2.89069E-61	0.21455	7.11301E-140	-0.21852	3.37412E-136	-0.00174	1.53649E-01	0.01476	1.85152E-34	0.00651	2.27088E-13	-0.10592	6.03108E-106	0.08698	4.37029E-100	-0.0328	7.83054E-63	0.06388	1.56875E-92	0.47407	1.54374E-163	-0.3609	4.22097E-150
