output_prefix	name	motif_id	cluster	total_tfbs	cluster12_mean_score	cluster12_bound	cluster6_mean_score	cluster6_bound	cluster11_mean_score	cluster11_bound	cluster16_mean_score	cluster16_bound	cluster20_mean_score	cluster20_bound	cluster3_mean_score	cluster3_bound	cluster19_mean_score	cluster19_bound	cluster18_mean_score	cluster18_bound	cluster1_mean_score	cluster1_bound	cluster4_mean_score	cluster4_bound	cluster7_mean_score	cluster7_bound	cluster9_mean_score	cluster9_bound	cluster15_mean_score	cluster15_bound	cluster14_mean_score	cluster14_bound	cluster2_mean_score	cluster2_bound	cluster8_mean_score	cluster8_bound	cluster17_mean_score	cluster17_bound	cluster13_mean_score	cluster13_bound	cluster10_mean_score	cluster10_bound	cluster5_mean_score	cluster5_bound	cluster12_cluster6_change	cluster12_cluster6_pvalue	cluster6_cluster11_change	cluster6_cluster11_pvalue	cluster11_cluster16_change	cluster11_cluster16_pvalue	cluster16_cluster20_change	cluster16_cluster20_pvalue	cluster20_cluster3_change	cluster20_cluster3_pvalue	cluster3_cluster19_change	cluster3_cluster19_pvalue	cluster19_cluster18_change	cluster19_cluster18_pvalue	cluster18_cluster1_change	cluster18_cluster1_pvalue	cluster1_cluster4_change	cluster1_cluster4_pvalue	cluster4_cluster7_change	cluster4_cluster7_pvalue	cluster7_cluster9_change	cluster7_cluster9_pvalue	cluster9_cluster15_change	cluster9_cluster15_pvalue	cluster15_cluster14_change	cluster15_cluster14_pvalue	cluster14_cluster2_change	cluster14_cluster2_pvalue	cluster2_cluster8_change	cluster2_cluster8_pvalue	cluster8_cluster17_change	cluster8_cluster17_pvalue	cluster17_cluster13_change	cluster17_cluster13_pvalue	cluster13_cluster10_change	cluster13_cluster10_pvalue	cluster10_cluster5_change	cluster10_cluster5_pvalue
RELA_MA0107.1	RELA	MA0107.1	C_RELA	13375	4.43456	4411	3.35793	3236	3.80427	3892	1.72454	1696	4.38571	4380	0.3788	361	2.59178	2648	2.51341	2469	4.31185	4279	2.5768	2582	4.17213	4110	1.49538	1516	4.56991	4553	4.67735	4702	0.14734	142	4.4802	4419	4.35759	4320	2.42567	2337	2.60865	2609	2.46838	2410	0.00613	8.41355E-08	-0.0453	5.55798E-69	0.04218	2.16594E-56	-0.0028	9.51064E-01	0.04023	5.32458E-65	-0.06918	1.00470E-74	0.01054	2.22997E-14	0.08394	1.39373E-90	-0.03599	3.12757E-56	-0.00052	6.11822E-04	-0.00538	1.12294E-07	-0.02479	1.71229E-46	-0.05345	5.84889E-78	0.11412	2.30740E-107	-0.07206	2.59275E-89	0.02067	6.30870E-45	0.04782	1.74695E-68	-0.0713	5.02954E-88	0.02486	7.49142E-43
TBP_MA0108.2	TBP	MA0108.2	C_TBP	7860	3.13032	1746	2.38021	1323	2.6286	1505	1.10331	653	3.15987	1726	0.24532	143	1.51652	853	1.44262	785	3.15893	1743	1.68516	952	2.90138	1580	0.97456	565	3.10805	1708	2.97522	1601	0.1105	67	3.18366	1749	3.12259	1707	1.68065	943	1.74516	989	1.57129	891	-0.04303	2.21052E-51	0.03428	1.44644E-44	0.01595	4.45187E-18	0.01486	5.99509E-17	-0.14361	1.88334E-104	0.0557	2.13274E-49	0.00613	9.69298E-07	-0.05068	5.61365E-59	0.0124	3.42912E-19	-0.01414	5.72815E-17	-0.05267	1.76477E-58	0.06094	3.48090E-67	0.00673	2.23283E-05	-0.20035	2.76457E-121	0.19569	4.77241E-111	-0.00163	8.35804E-01	0.02726	1.46874E-39	-0.00932	6.51577E-10	0.03238	4.24782E-34
Spz1_MA0111.1	Spz1	MA0111.1	C_Spz1	11382	3.79147	3149	2.81747	2323	2.8462	2370	1.23956	1067	3.76809	3149	0.27638	233	1.6654	1446	1.67464	1397	3.68656	3115	2.00748	1660	3.50381	2938	1.09298	915	3.73045	3109	3.70023	3076	0.11846	98	3.78402	3135	3.72339	3116	2.05961	1653	1.79657	1495	1.87675	1573	0.00844	1.74003E-13	0.06573	6.67718E-78	0.00871	3.45806E-13	-0.0503	1.15573E-70	-0.03049	1.43377E-50	0.04933	2.27623E-52	-0.01236	1.21428E-14	-0.07715	3.91337E-98	0.01086	8.18369E-24	-0.03008	8.12879E-45	0.01655	1.80626E-29	-0.02004	1.01818E-33	-0.0133	2.87123E-26	-0.06313	2.33717E-76	0.06364	9.90172E-82	0.00841	6.39009E-15	0.03368	1.14999E-56	0.07732	7.70855E-77	-0.06573	1.17245E-75
ESR1_MA0112.3	ESR1	MA0112.3	C_ESR1	9444	4.67729	3348	3.48867	2423	3.1991	2270	1.36787	956	4.63157	3283	0.25569	175	1.83383	1282	2.0405	1447	4.65827	3350	2.33959	1600	4.39333	3090	1.45478	1037	4.7349	3342	4.70443	3356	0.14082	108	4.76588	3396	4.64832	3284	2.54708	1753	1.91669	1347	2.29107	1554	0.04454	1.58191E-65	0.11501	4.05105E-104	0.07207	2.22860E-81	-0.18046	1.70267E-121	0.15006	5.51942E-112	-0.00419	4.21137E-02	-0.08359	4.72571E-80	-0.15247	1.49173E-119	0.10604	1.91730E-95	-0.1193	3.43805E-106	0.06623	3.17004E-72	-0.08528	4.69069E-92	-0.00864	1.55797E-09	0.13639	8.43878E-108	-0.12242	4.89907E-110	0.02306	2.79734E-41	0.072	1.48360E-85	0.1724	2.41687E-108	-0.14762	3.83971E-101
NR3C1_MA0113.3	NR3C1	MA0113.3	C_NR3C2	6617	3.86395	1877	2.88484	1435	3.80823	1955	1.53137	742	3.78724	1848	0.26128	128	2.16387	1072	2.08398	1013	3.73554	1827	2.20146	1070	3.60742	1747	1.18252	567	3.82829	1880	3.78949	1852	0.11806	55	3.80201	1826	3.752	1847	2.13652	1014	2.84865	1421	2.08913	1017	0.01094	8.64304E-13	-0.15868	2.88546E-108	0.12744	1.18834E-99	0.01465	4.89264E-17	0.03432	5.94430E-40	-0.12328	1.04073E-77	0.03275	3.02695E-34	0.02357	5.18023E-28	-0.04159	3.55958E-54	0.01021	1.31692E-11	0.03184	2.73896E-39	-0.02657	1.88740E-34	-0.02525	1.18038E-35	0.02605	2.80038E-34	-0.01551	2.21644E-20	0.00476	2.32214E-03	0.00778	1.72463E-06	-0.1546	3.32314E-104	0.14046	3.92582E-101
HNF4A_MA0114.4	HNF4A	MA0114.4	C_HNF4A	22763	5.02521	8845	3.80552	6580	2.79752	4795	0.83113	1361	4.88062	8505	0.1339	219	1.16803	1899	1.65967	2753	4.96671	8792	2.13772	3664	4.67197	8180	1.41136	2386	4.98757	8754	4.85394	8564	0.13446	227	5.15266	8971	5.06214	8910	2.65576	4560	1.37761	2274	2.15096	3615	0.01426	1.03110E-32	0.2682	2.38290E-159	0.20304	1.39328E-137	-0.38927	5.27395E-179	0.25225	2.49630E-155	0.0637	7.87519E-67	-0.22619	3.68994E-138	-0.32848	2.44054E-169	0.21514	1.06564E-147	-0.21658	1.04516E-154	0.12584	1.47227E-123	-0.13292	1.87564E-122	-0.01041	6.23500E-28	0.14996	1.35879E-130	-0.17511	5.14585E-138	0.00667	3.46140E-13	0.11778	2.11598E-121	0.3773	1.91844E-168	-0.29771	4.69433E-158
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	17841	5.06662	7015	3.81887	5110	2.79968	3717	0.87403	1115	4.96171	6760	0.13897	173	1.2849	1632	1.55533	2051	5.04681	7053	2.21492	2928	4.70982	6475	1.42447	1874	4.98283	6857	4.91483	6724	0.1212	169	5.14937	7035	5.07588	7025	2.70165	3591	1.36963	1780	2.18348	2883	0.01597	1.92819E-43	0.27705	1.55219E-154	0.18665	9.21157E-131	-0.39179	1.68266E-167	0.26619	1.02622E-149	0.02087	1.74223E-25	-0.13739	8.81103E-112	-0.37562	4.92256E-171	0.20036	1.95817E-138	-0.19792	1.34011E-135	0.12756	1.77208E-121	-0.13077	6.01290E-128	-0.01652	4.12125E-43	0.16513	1.78496E-129	-0.19229	1.30612E-139	0.00086	2.01262E-01	0.10913	6.84362E-115	0.39288	1.52535E-158	-0.31835	2.09864E-151
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	9122	4.93329	3330	3.77971	2527	4.11716	2844	2.16287	1476	4.97138	3371	0.50332	334	2.92098	2033	2.80605	1910	4.91828	3291	2.94825	1943	4.58684	3064	1.68974	1128	4.846	3267	4.70356	3151	0.19633	132	4.79569	3193	4.73224	3179	2.88807	1922	2.7894	1871	2.78277	1823	-0.00107	1.91806E-01	-0.00388	6.36267E-04	-0.05756	3.25521E-72	0.03606	6.72542E-48	0.06665	1.37915E-82	-0.03379	9.07964E-43	0.02986	5.64108E-44	0.047	2.80419E-67	-0.0107	1.14602E-15	0.00968	5.65323E-15	0.00015	4.85601E-01	-0.01028	2.62867E-17	0.00804	6.73915E-12	0.06349	4.18483E-75	-0.06675	6.48143E-79	-0.00222	1.88884E-01	-0.01568	2.95158E-27	0.00191	3.68198E-01	-0.01384	2.40964E-25
Mafb_MA0117.2	Mafb	MA0117.2	C_MAFF	13534	3.74801	3796	2.74914	2748	2.827	2871	1.33454	1367	3.64499	3575	0.17444	173	1.67428	1731	1.50553	1460	3.62	3655	2.06524	2053	3.4496	3494	1.04387	1053	3.79375	3897	3.79005	3801	0.09163	104	3.85024	3885	3.71789	3740	1.92141	1915	1.70914	1696	1.81501	1787	0.03271	5.83523E-55	0.03227	2.06648E-61	-0.01314	2.45979E-22	-0.01258	1.34239E-20	0.02642	9.02307E-51	-0.0697	2.03275E-68	0.03709	7.17438E-50	-0.12686	4.64017E-110	-0.01448	1.33264E-29	-0.00761	3.55596E-09	0.03792	4.93017E-57	-0.05967	1.03598E-79	-0.02036	2.87844E-36	0.00225	3.20827E-03	0.0067	6.10033E-10	0.01559	1.19670E-31	0.08452	2.41651E-93	0.06348	7.43419E-78	-0.06358	2.46987E-78
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIB	17247	4.86484	6302	3.72085	4685	3.35658	4361	1.29295	1635	4.79864	6158	0.23193	281	1.94617	2496	2.51143	3208	4.83827	6348	2.42276	3088	4.5916	5953	1.50188	1909	4.86711	6297	4.81827	6227	0.13207	175	4.94585	6306	4.86211	6358	2.59646	3284	2.08312	2683	2.37525	2978	0.00245	8.60534E-03	0.12341	2.31847E-116	0.11183	4.06119E-109	-0.21123	1.25951E-138	0.19906	1.44020E-138	-0.0911	6.93587E-93	-0.18566	1.70405E-128	-0.04085	6.38974E-69	0.11191	2.22348E-114	-0.12368	2.57299E-115	0.06936	1.80745E-93	-0.08045	1.83647E-100	-0.02003	1.19474E-40	0.1473	3.72812E-118	-0.15459	2.00329E-129	0.00459	3.46214E-06	0.10009	5.33470E-112	0.13327	1.40663E-113	-0.1161	8.13173E-110
Nkx3-2_MA0122.3	Nkx3-2	MA0122.3	C_Nkx3-2	9121	2.98635	1942	2.17647	1438	2.32625	1540	0.88506	577	2.96612	1905	0.14784	103	1.09533	716	1.14883	728	2.99378	1947	1.51343	981	2.75576	1764	0.8162	539	3.02938	2001	2.9567	1938	0.08024	51	3.01342	1968	3.03624	2007	1.54023	1032	1.44902	968	1.37991	900	0.00807	2.68129E-12	0.02562	1.02089E-33	0.04714	3.42479E-60	-0.03826	1.06644E-52	-0.13159	3.97695E-99	0.11403	6.13429E-73	-0.06204	2.01879E-63	-0.09578	2.70051E-91	0.01913	1.83691E-32	-0.02285	5.84248E-34	-0.04072	4.31698E-53	0.0251	7.07428E-40	-0.00026	1.09826E-01	-0.19724	9.01888E-119	0.2151	1.28371E-126	-0.02963	3.50906E-41	0.0552	2.24312E-65	0.03531	6.90914E-50	-0.00502	4.84271E-02
