TF	cluster12	cluster6	cluster11	cluster16	cluster20	cluster3	cluster19	cluster18	cluster1	cluster4	cluster7	cluster9	cluster15	cluster14	cluster2	cluster8	cluster17	cluster13	cluster10	cluster5
Runx1_MA0002.2	0.4917362290052395	0.22229025361085142	0.8300401618997058	1.5062617701272298	0.2829908150777495	-1.9403350482314705	-0.8754423866023593	-0.2801904728656327	0.5050193252847838	0.8572214225861687	0.4091938165138596	-0.6515004254133463	0.47100871170884545	0.39016918167123366	-2.9406204250164882	0.4894365428173333	0.33617065767353715	0.014337626240980013	0.1628095532250355	-0.2805973093132807
TFAP2A_MA0003.4	-0.8115777021396536	-0.7619465633937073	0.08115983108724256	1.0217236001839254	-0.6568178122161449	1.4144148484347452	2.2939864026926915	0.9977886920931993	-0.8559346895054639	0.39448973864696846	-0.7637066331978988	0.11267922704715046	-1.0079103937393041	-1.111915535001704	0.5467083674510993	-1.0849983076756065	-1.3150467541222353	0.05184089550751168	0.8201520684466275	0.6349107194005288
Arnt_MA0004.1	-0.49756448237320827	-0.47603128496314195	-0.6153743305265033	1.655845927385087	-0.6715226967616895	2.995072564474915	-0.22226403192452718	0.4609453467505564	-0.5575186583114204	0.4588153824540888	-0.5732279687569619	1.2928785967990217e-05	-0.6967078610978167	-0.5038092409885616	1.651818696741348	-0.6744509068964318	-0.7974346405555164	-0.23584520063769743	-0.42923950049877563	-0.27152004229970517
AhrArnt_MA0006.1	-0.6762903822070407	-0.5945141406424104	0.23741086237244538	1.1466631477664677	-0.7190412168057655	3.0070440523214543	1.257545526759488	0.23448158903970392	-0.653151238503462	-0.0013668007017069842	-0.7804039598241482	-0.25229114420388365	-0.8104128518337962	-0.9375748297301106	0.802379369871494	-0.9309644563274501	-0.8973633839930888	-0.2714042914218142	0.7700123639213496	0.06924178414227784
Ar_MA0007.3	-0.17468673502328358	-0.27817070294965823	1.520173088521958	0.6661855003003764	-0.1370858209010541	-2.3184296277029244	1.006327900485319	0.48465615989402566	-0.3388180548643249	-0.09654108501011688	-0.14768454123501146	-0.28371961126893547	-0.21295166756523048	-0.1574211992224102	-1.630418576226665	-0.3360957530879633	-0.24139832182542206	-0.23994657465326427	2.473062024540203	0.44296359779432587
TBXT_MA0009.2	0.8643390017397907	0.5312139397613371	-0.6045433645027539	-1.6049907021800052	0.6578243266960667	-2.1356600083573434	-1.4412603661632968	-0.5186315329881607	0.7706510688020435	-0.12340956126699942	0.7423513952398834	0.2799522993830102	0.9862239420375332	0.9184093943166131	-0.24834822786794167	0.9723859752869807	0.9037171281285662	0.6898809012930315	-1.5235246199098216	-0.11658098944854332
PAX5_MA0014.3	-0.7835257150132934	-0.5910928701927552	-0.11099226691290608	1.5132788272022923	-0.7896058133638711	2.5872335965223217	1.2985511264737608	0.5285266356538558	-0.7857774729412023	0.2716115696042178	-0.8464679649250475	-0.023655792023211546	-0.9495309001936311	-0.8929341374230935	1.00476020332698	-0.9959234539350227	-0.9954187105877625	-0.13103411935838316	0.5644500900574231	0.12754716802932603
NR2F1_MA0017.2	0.7684687924428196	0.6641840361703365	-0.3218262406512514	-1.2886058429783478	0.7816322116212425	-2.721986559841002	-1.2102811821985038	-1.134596765334067	0.722517208696669	-0.08077530293740945	0.8241898733928996	0.051201284941193526	0.8409035314594543	0.916643850432869	-0.02705107068541071	0.9436414439431088	0.8739285502216279	0.31945155123408675	-0.957038457492836	0.03539908756254266
CREB1_MA0018.4	0.7460302078071601	0.29809439048102243	-0.13006815529711055	-1.2141408154617748	0.5719973090814818	-1.9810844377020764	-2.1858177364228846	-0.6779323127885561	0.5240753962273775	-0.3310095547607622	0.9416641727987546	0.004160271478969856	1.1013535474069394	1.5384156096152817	-0.3521572814736645	1.2077262665601927	0.7917731178223992	-0.13007271034619786	-0.49524036960726425	-0.2277669154193095
Ddit3Cebpa_MA0019.1	0.8797154800285506	0.6298806672450886	-0.3782039177501998	-0.8383544114029994	0.8372326781075997	-2.3330504589840992	-1.7463583015524833	-0.8902505587153968	0.8152834190625279	0.23685405624691944	0.8373871074942025	-0.1611680912546044	0.9026279698834333	0.9131400593947255	-0.5488661198526025	1.0976372445730869	0.9490957469654357	0.22692461176025638	-1.1732524379169629	-0.25627474333248573
E2F1_MA0024.3	-0.7788723415923268	-0.6246952732984595	-0.12610463049506315	1.2297952957922553	-0.5962962427465947	3.24357292362064	0.9155432777842886	0.2609467905105622	-0.6893118986046812	0.2731267937747993	-0.6038207580471113	-0.3504183757811924	-0.8263219466702552	-0.9916830070497106	0.6968660219012188	-0.8650105086098587	-0.7712052935952431	0.0507516718384826	0.22859243090347472	0.32454507036480357
NFIL3_MA0025.2	0.8132568762264497	0.6408782610444232	-0.24725034205714788	-0.4693720639620343	0.764381410626584	-2.605764046584822	-1.9648552233445724	-0.7140203877552521	0.8254438056250215	0.08420591107344151	0.778924917538465	-0.08504469619965523	0.740619010518617	0.7710831142691901	-0.2784511387132078	0.9535298828341927	0.9800157649857165	0.46823251396892546	-1.0670713528622313	-0.3887422172321156
EN1_MA0027.2	0.2179429475110459	0.011781175165740586	1.6192664893493107	-1.5630007617586832	0.3789529915064443	-2.1097431815615573	-1.1026619078799118	-0.596092038985226	0.2323952436045408	-0.4405651325626646	0.3659069870122527	-0.4692307836953047	0.3258851640375741	0.22767039636347491	0.43610258134261787	0.2708802776731767	0.42995090371842093	-0.2696898091024807	2.4954873655921994	-0.4612389073309784
